iter	Passed	Remaining
703	1954	9152
704	1957	9146
705	1959	9141
706	1962	9141
707	1965	9137
708	1967	9132
709	1969	9127
710	1971	9122
711	1974	9116
712	1976	9111
713	1979	9110
714	1981	9105
715	1984	9102
716	1986	9097
717	1989	9092
718	1991	9087
719	1994	9087
720	1997	9083
721	1999	9078
722	2001	9074
723	2004	9068
724	2006	9064
725	2009	9061
726	2012	9058
727	2015	9058
728	2017	9054
729	2020	9049
730	2022	9044
731	2024	9040
732	2027	9037
733	2031	9037
734	2034	9036
735	2037	9033
736	2039	9030
737	2044	9034
738	2046	9031
739	2049	9026
740	2051	9022
741	2053	9017
742	2055	9012
743	2059	9012
744	2061	9008
745	2064	9004
746	2066	8998
747	2068	8994
748	2070	8988
749	2073	8987
750	2076	8983
751	2078	8979
752	2081	8974
753	2083	8970
754	2085	8965
755	2088	8960
756	2091	8961
757	2094	8957
758	2096	8953
759	2099	8950
760	2101	8946
761	2104	8942
762	2108	8944
763	2111	8941
764	2113	8938
765	2116	8934
766	2118	8931
767	2122	8932
768	2125	8930
769	2128	8926
770	2130	8923
771	2133	8919
772	2135	8916
773	2139	8919
774	2142	8917
775	2145	8913
776	2147	8909
777	2150	8907
778	2154	8906
779	2156	8903
780	2159	8901
781	2162	8897
782	2164	8893
783	2167	8889
784	2170	8889
785	2173	8886
786	2175	8883
787	2178	8879
788	2180	8875
789	2183	8871
790	2186	8869
791	2189	8866
792	2191	8862
793	2193	8858
794	2196	8855
795	2199	8851
796	2202	8850
797	2205	8848
798	2207	8844
799	2210	8841
800	2213	8838
801	2215	8836
802	2219	8838
803	2222	8836
804	2226	8835
805	2229	8834
806	2231	8830
807	2235	8831
808	2238	8830
809	2241	8826
810	2243	8822
811	2246	8819
812	2248	8815
813	2252	8814
814	2254	8811
815	2257	8807
816	2259	8802
817	2261	8798
818	2264	8793
819	2267	8793
820	2269	8789
821	2272	8785
822	2274	8780
823	2276	8776
824	2279	8771
825	2282	8770
826	2285	8767
827	2287	8763
828	2289	8759
829	2292	8754
830	2294	8750
831	2297	8747
832	2300	8745
833	2302	8741
834	2305	8736
835	2307	8732
836	2309	8728
837	2311	8723
838	2315	8723
839	2317	8720
840	2320	8715
841	2322	8711
842	2324	8706
843	2327	8701
844	2330	8699
845	2333	8698
846	2335	8694
847	2337	8689
848	2340	8685
849	2342	8681
850	2345	8677
851	2348	8676
852	2350	8672
853	2353	8668
854	2355	8664
855	2357	8660
856	2360	8655
857	2363	8654
858	2365	8651
859	2368	8646
860	2370	8642
861	2372	8637
862	2375	8633
863	2377	8628
864	2380	8628
865	2383	8624
866	2385	8619
867	2387	8615
868	2390	8611
869	2392	8607
870	2395	8606
871	2398	8602
872	2400	8598
873	2402	8593
874	2405	8589
875	2407	8584
876	2408	8576
877	2411	8575
878	2414	8572
879	2416	8568
880	2420	8567
881	2422	8564
882	2424	8560
883	2428	8559
884	2430	8556
885	2433	8551
886	2436	8549
887	2439	8548
888	2441	8544
889	2445	8545
890	2451	8554
891	2460	8572
892	2479	8626
893	2482	8626
894	2486	8624
895	2489	8623
896	2497	8638
897	2500	8639
898	2504	8638
899	2507	8636
900	2510	8635
901	2513	8633
902	2516	8630
903	2519	8628
904	2522	8626
905	2526	8627
906	2529	8626
907	2533	8625
908	2535	8623
909	2539	8624
910	2543	8623
911	2546	8623
912	2551	8625
913	2557	8634
914	2561	8636
915	2566	8640
916	2569	8639
917	2578	8655
918	2581	8654
919	2584	8651
920	2587	8649
921	2590	8649
922	2593	8646
923	2596	8642
924	2598	8639
925	2601	8636
926	2605	8637
927	2609	8636
928	2611	8633
929	2614	8629
930	2617	8627
931	2621	8629
932	2624	8626
933	2626	8622
934	2628	8618
935	2631	8614
936	2635	8614
937	2638	8613
938	2642	8613
939	2645	8610
940	2648	8608
941	2651	8608
942	2654	8606
943	2657	8602
944	2660	8599
945	2662	8595
946	2665	8591
947	2669	8593
948	2671	8589
949	2674	8585
950	2676	8582
951	2679	8579
952	2682	8575
953	2685	8575
954	2688	8571
955	2691	8568
956	2693	8565
957	2696	8562
958	2698	8558
959	2702	8557
960	2704	8553
961	2707	8549
962	2709	8545
963	2712	8542
964	2714	8538
965	2718	8536
966	2720	8534
967	2723	8529
968	2725	8525
969	2728	8524
970	2732	8524
971	2735	8521
972	2737	8516
973	2739	8512
974	2742	8507
975	2744	8503
976	2747	8500
977	2750	8498
978	2752	8495
979	2755	8490
980	2757	8486
